1134	male	12	12	32	5039	6958			3015	1699	2023	2069	1295	2250	1820	2022	2060	1908	2641					5564	5411	4110	2119	3858	3959		1759	1500	1610	6563	3043		3164	4946			3997		3574	6565	4736	3503	3215	5277	8617	7717	6734	4510	2879	1657	3982	2912	2485	2991	8730	5265		4461	3377	7381	5229	2664	3239	5600		2476	5129	2592	6503	4676	6004	2803
2424	female	16	12	30	4090	3795	2589	5076	3340	1443	1800	3434	1809	2990	1903	2351	2993	2766	3793		1974	6002		2423	3368		2226	1915	3129	3767	4043	2641	2617		3471	2175		3870	3938		6252	4459	1324	5927		2667	2035	3860	4363	2368	3141	3412	3298		4343	2977	3047	7153	2464	3633		5591	2381	11676	4921	1633	3021		3730	4973		3080	4433	6447	2298	3884
3420	male	16	15	28	3417	1837	3484	4972	1822	2391	1618	993	1081	1543	1934	1923	5501	2520	4232	3791		3817	10927	3976	3895	2662	2653	4687	2556	4420	1623	2980	1781	3646	3530			2007	2912	3890	1289	1687	1049	10848	3914		6267	7085	8058		6700	1228	2898	6004	8463	1130	1745	4732		1514			2502		3186	2412	3472	8123	2228	10316		1630	3317	3561	1885	2093
1266	female	16	15	29	6864	4323	18815	2849	4329	2114	2144	1540	1966	1563	2361	3097	2484	5208	3191	5592	14164		5737	12718	5222	6044	6021	4323	3178	3136	1686	2741	2410	3971	2403		3561	5239	2754			10343	3535	6719	6091	5570	9260	3753	7821	9519	5599	4141	2604	2478	7304	2532	4149	2854	9318		4859	3748		9210	16206	3883	7109	9500	4942		8219		7069	6812		14179
1495	male	15	17	31	5751	10154	4666	5663		13042	1586	1543	1462	1474	2106	10123	11095	3779	4888		5543	5974	3733	3379	3743	4764	2899	2737	2622	1582	1793	4177	2135	3506	4557	8368	7318	15341	7270	2561	13288	2525	3448	6243	9121	2778	3390	2776	4827		3216	4151	3170	12149	8794	3709	3171	11783	24848	3035			2063	6832	6974	5746	6801	5635	3117	3775	6372		6209	6428	47172	4404
2041	male	15	16	35	10526	4630	3913	3591	2854	3352	1995	1456	1595	2533	2996	2487	2531	3031	5940	11073			8892	9613	6508	8608		2661	4089	2463	2834	3130	2999	2997	6326	9108	3751	3562	6006	10623	13598	2769	2047	8981	3927	3933	2857	1793	6935	5541	11181	3193	2950	9234	6368	1491	3360	8848	5717	3021	3009	9053	3128	5698	9279	2002	1789	7467	3399	7369	6080	4287	3135	2144	2701	5203
129	male	17	17	33	2988	2313	1870	3351	3488	2430	2629	2077	1905	1721	1623	2968	2104	1778	1957	3151	3680	3182	4776	5941	4955	2893	3629	1655	1510	2464	2177	2758	2174	1402	5149	3417	2993	3822	2967	1316	3027	2507	2909	8803	8213	5506	1697	6124	3538	6228	2045	2187	3167	2181	1772	2102	2754	2967	6233	2059			1955	6825	2091	1630	2069	3655	2978	4230	3998	1701	2578	5208	2119	6845
ÅEïÔºóÔºïÔºÅEmale		11	9	25	1163		1659			4075	1382	1959		2993	910			5122	1798	37	1255	1199			2160	1356	149	1291	1226	2314	3451		4681			7329				146	2763	1032	1446	1688	1578	1737	1348	3180	1068	567		3902	1764	1216	245	903	1843	1527	2712				2472				1712			2605	2437		120	364	805	5195
3870	male	16	15	34	3845	3293	3137	2265	2000	2215	1342	1065	1137	984	1751	1469	1323	1736	4055	3752		3489			1436	3763	3852	2212	1367	1841	1287	1605	1933	1665	1168	6371	2228	3155	1997	7478	7396	1364		1652	2677	1751	1954	1723	1620	1893	2275	1567	2270	3023	1429	1871	1695	1485	2342	2075	3079	2989	2298	2948	3249	1959	2289	1337	2060	6007	4310	1344	2460	1220	1672	965
2297	male	14	11	30	4730		5335	6074	2888	1918	1677	1247	1051	1633	3086	2594	2278	3138		5617		3699			4940	7939			2699	2335	5191	3158	3333	2142	2513		11605		4415	9766	2425	3033	1990	3981	2088	3202	3085	2753	1740		1753	2821		3140	2383	1988	2037	2140		4563		5941	2211	2909	2834	2328	2538	2671	2433	7775	3159	2858	7257	11951		1377
