1991	male	16	15	19	8259	4814	4830	8996	10460	2532	1718	3734	987	1944	9358	3423	4936	3964	5259	9282	0	6695																		
					0	2697	2607	2401	6738	3553	2016	1804	1401	2523	2769	4612	1761	12742	3436	8441	4427	0																		
					2688	4784	2902			2974		6510	5089		22078	5839					3856	4491		6579		6255	3851			2341	3978		3572	2603				5635	4572	1728
																																								
																																								
																																								
			0	20	40	60	80	100	120	140	160	180	ëää÷åWêî	píl																										
		ïΩñ âÒì]	987	2839	5538	2977.5	7698	6480	5044.5	7048	4129.5	6695	0.616481141	0.057670007																										
		âúçsÇ´âÒì]	1401	2163.5	2392.5	4082.5	4249.5	7571.5	3021.5	5569	2213.5		0.422923704	0.223327719																										
																																								
